Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2026,Brooks Lee,MIN,31,119,110,28,21,2,0,5,14,18,8,0,24,1,0,0,1,2,1,.255
2026,Byron Buxton,MIN,32,147,134,34,18,5,1,10,25,14,10,0,37,2,1,0,0,2,0,.254
2026,Luke Raley,SEA,31,99,91,23,12,4,1,6,12,16,6,0,36,2,0,0,0,0,1,.253
2026,Fernando Tatis Jr.,SDP,33,143,123,31,26,4,1,0,12,13,14,1,36,1,4,1,3,9,2,.252
2026,Ronald Acuña Jr.,ATL,34,152,127,32,21,8,1,2,17,9,20,1,31,3,2,0,0,7,4,.252
2026,Sal Stewart,CIN,35,151,131,33,18,6,0,9,20,29,18,1,27,0,2,0,4,7,0,.252
2026,Mike Trout,LAA,35,161,124,31,16,5,0,10,30,21,34,4,39,3,0,0,2,5,0,.250
2026,Jesús Sánchez,TOR,34,118,108,27,19,4,0,4,11,15,5,1,20,2,3,0,3,1,0,.250
2026,Mark Vientos,NYM,27,95,88,22,14,4,0,4,10,14,6,0,22,0,1,0,2,0,0,.250
2026,Jose Altuve,HOU,33,147,129,32,20,9,0,3,22,9,17,1,27,0,0,1,5,1,2,.248
2026,Teoscar Hernández,LAD,31,127,113,28,20,4,0,4,17,17,13,1,35,0,1,0,5,1,0,.248
2026,Jake Bauers,MIL,32,126,113,28,17,6,0,5,21,19,13,3,27,0,0,0,1,3,1,.248
2026,Yainer Diaz,HOU,26,106,101,25,18,5,0,2,7,14,3,0,16,0,2,0,3,0,1,.248
2026,Nathan Church,STL,30,108,101,25,16,4,0,5,14,16,4,0,24,1,2,0,2,3,1,.248
2026,Daylen Lile,WSN,34,151,138,34,23,8,0,3,20,14,13,1,28,0,0,0,2,1,3,.246
2026,JJ Wetherholt,STL,35,161,134,33,21,5,0,7,28,18,18,1,28,7,2,0,0,4,0,.246
2026,Matt Chapman,SFG,34,145,130,32,24,6,1,1,16,12,14,0,34,1,0,0,4,0,1,.246
2026,Geraldo Perdomo,ARI,30,124,102,25,16,4,3,2,12,9,18,0,15,0,2,2,5,6,3,.245
2026,Willi Castro,COL,27,102,94,23,17,5,0,1,13,11,7,0,34,1,0,0,1,2,2,.245
2026,Alex Bregman,CHC,35,160,139,34,25,5,1,3,13,12,19,1,24,1,1,0,7,1,0,.245
2026,Adolis García,PHI,34,137,123,30,21,5,1,3,10,11,11,0,35,2,1,0,1,1,0,.244
2026,Nick Kurtz,ATH,33,153,119,29,19,5,0,5,19,16,34,4,50,0,0,0,0,3,1,.244
2026,Brandon Lowe,PIT,30,135,115,28,12,8,0,8,19,21,19,0,30,1,0,0,0,0,0,.243
2026,Kyle Tucker,LAD,34,151,132,32,21,7,0,4,24,18,17,0,30,0,2,0,0,3,0,.242
2026,Spencer Horwitz,PIT,32,116,95,23,17,3,0,3,11,13,18,0,15,1,2,0,6,0,0,.242
2026,Ian Happ,CHC,33,151,124,30,15,6,1,8,26,15,25,2,43,2,0,0,3,1,0,.242
2026,Shohei Ohtani,LAD,33,158,125,30,18,6,0,6,23,14,26,6,36,4,2,0,3,4,0,.240
2026,Munetaka Murakami,CHW,35,154,125,30,15,1,0,14,26,28,28,3,50,0,1,0,1,0,2,.240
2026,Max Muncy,ATH,26,104,92,22,13,5,2,2,15,7,6,0,37,4,2,0,3,2,1,.239
2026,Ramón Laureano,SDP,32,136,122,29,18,4,2,5,16,19,11,0,41,1,2,0,1,4,0,.238
2026,Wyatt Langford,TEX,20,84,80,19,13,3,2,1,9,4,4,0,19,0,0,0,2,3,0,.238
2026,Pedro Pagés,STL,22,84,76,18,12,3,0,3,8,8,4,0,21,2,1,1,3,2,0,.237
2026,Pete Crow-Armstrong,CHC,35,144,131,31,22,4,2,3,21,13,10,1,40,2,0,1,2,6,3,.237
2026,Kazuma Okamoto,TOR,34,143,127,30,19,2,0,9,18,22,16,0,42,0,0,0,3,0,0,.236
2026,Bo Bichette,NYM,35,154,144,34,27,5,0,2,16,15,8,0,30,0,2,0,6,1,0,.236
2026,Trea Turner,PHI,34,152,140,33,23,6,0,4,21,11,12,0,31,0,0,0,3,3,0,.236
2026,David Hamilton,MIL,29,103,85,20,18,2,0,0,16,7,12,0,20,1,0,4,1,7,2,.235
2026,Connor Norby,MIA,32,119,102,24,14,7,0,3,7,11,12,0,36,4,1,0,3,2,1,.235
2026,Daulton Varsho,TOR,32,127,115,27,16,7,0,4,14,9,10,1,23,2,0,0,0,2,0,.235
2026,Samuel Basallo,BAL,27,104,94,22,14,3,0,5,10,10,10,1,28,0,0,0,0,0,0,.234
2026,Luis García Jr.,WSN,33,112,107,25,17,6,1,1,14,16,4,0,19,0,1,0,0,2,0,.234
2026,Jacob Young,WSN,31,119,112,26,19,5,0,2,11,15,5,0,24,1,0,1,1,1,1,.232
2026,Hunter Goodman,COL,33,138,125,29,13,7,0,9,24,15,10,1,53,3,0,0,1,1,1,.232
2026,James Wood,WSN,35,167,134,31,14,7,0,10,30,24,31,6,54,2,0,0,1,5,1,.231
2026,Eugenio Suárez,CIN,25,100,91,21,15,3,0,3,10,11,9,0,30,0,0,0,1,0,0,.231
