ranker,name_display,age,team_name_abbr,comp_name_abbr,p_ip,p_batting_avg,p_onbase_perc,p_slugging_perc,p_onbase_plus_slugging,p_batting_avg_bip,p_home_run_perc,p_strikeout_perc,p_base_on_balls_perc,p_avg_exit_velo,p_hard_hit_perc,p_ld_perc,p_gb_perc,p_fb_perc,p_gb_fb_ratio,p_wpa_def,p_cwpa_def,p_baseout_runs,awards
174,Ron Marinaccio,30,SDP,NL,16.2,.292,.343,.462,.804,.333,2.9,17.1,7.1,86.9,30.2,17.0,47.2,24.5,0.89,0.0,0.0%,-0.88,
175,Isaac Mattson,30,PIT,NL,16.2,.242,.333,.274,.608,.294,0.0,16.7,12.5,90.4,49.0,37.3,17.6,37.3,0.22,0.9,0.6%,3.60,
176,Cole Sulser,36,TBR,AL,16.2,.288,.360,.409,.769,.340,1.3,17.1,10.5,90.2,44.4,18.2,40.0,30.9,0.69,0.2,0.0%,0.82,
177,Matt Svanson,27,STL,NL,16.2,.324,.429,.535,.964,.373,4.8,19.0,14.3,92.4,52.7,23.6,40.0,27.3,0.67,-0.7,-0.4%,-8.47,
178,José Suarez*,28,ATL,NL,16.1,.328,.430,.388,.818,.478,0.0,26.6,15.2,90.2,43.5,32.6,45.7,15.2,0.84,-0.7,-0.3%,-4.69,
179,Ryan Zeferjahn,28,LAA,AL,16.1,.186,.300,.288,.588,.282,0.0,30.0,11.4,87.4,31.6,17.9,46.2,20.5,0.86,-0.2,-0.2%,-0.68,
180,Justin Bruihl*,29,STL,NL,16.0,.232,.370,.339,.709,.235,1.4,9.6,15.1,86.1,40.4,28.8,48.1,13.5,0.93,0.0,0.0%,-3.30,
181,Adrián Morejón*,27,SDP,NL,16.0,.273,.324,.348,.672,.354,1.4,23.9,7.0,85.0,31.3,24.5,65.3,10.2,1.88,0.3,0.1%,-2.91,
182,Nick Pivetta,33,SDP,NL,16.0,.200,.273,.267,.539,.333,0.0,36.4,9.1,86.2,30.6,16.7,33.3,33.3,0.50,0.1,0.1%,0.12,
183,Louis Varland,28,TOR,AL,16.0,.218,.267,.255,.521,.400,0.0,43.3,6.7,88.0,33.3,20.0,56.7,23.3,1.31,1.2,0.5%,8.13,
184,Grant Anderson,29,MIL,NL,15.2,.189,.271,.396,.667,.222,3.4,25.4,10.2,88.8,50.0,21.1,52.6,23.7,1.11,0.0,-0.1%,4.04,
185,Joe Boyle,26,TBR,AL,15.2,.190,.262,.328,.589,.238,1.5,24.2,9.1,87.3,44.2,20.9,41.9,23.3,0.69,-0.5,-0.3%,-4.77,
186,Taylor Clarke,33,ARI,NL,15.2,.204,.237,.315,.552,.208,1.7,11.7,1.7,84.3,26.0,12.0,62.0,18.0,1.72,0.4,0.2%,1.01,
187,Kyle Finnegan,34,DET,AL,15.2,.173,.306,.308,.614,.205,1.6,19.4,16.1,86.7,32.5,12.5,50.0,27.5,1.05,0.9,0.5%,7.96,
188,Spencer Miles,25,TOR,AL,15.2,.217,.277,.333,.610,.256,3.1,23.1,7.7,85.0,28.9,24.4,44.4,24.4,0.83,0.2,0.1%,3.77,
189,Justin Sterner,29,ATH,AL,15.2,.292,.343,.431,.774,.378,2.8,25.4,7.0,85.7,47.9,16.7,50.0,22.9,1.26,-0.9,-0.5%,-0.57,
190,Sam Bachman,26,LAA,AL,15.1,.189,.317,.283,.600,.243,1.6,23.8,15.9,84.5,27.0,18.4,44.7,31.6,0.81,0.6,0.4%,2.25,
191,Kyle Hart*,33,SDP,NL,15.1,.222,.317,.333,.651,.255,0.0,12.5,9.4,82.5,27.1,20.8,54.2,10.4,1.37,0.0,0.0%,0.68,
192,Brent Headrick*,28,NYY,AL,15.1,.271,.338,.339,.677,.372,0.0,23.5,8.8,86.4,40.0,30.4,28.3,23.9,0.43,0.7,0.4%,5.66,
193,Peter Lambert,29,HOU,AL,15.1,.211,.318,.263,.581,.316,0.0,28.8,10.6,86.1,36.8,26.3,42.1,23.7,0.76,0.2,0.0%,2.36,
194,Mason Miller,27,SDP,NL,15.1,.118,.167,.118,.284,.273,0.0,53.7,5.6,84.3,18.2,13.6,63.6,18.2,1.75,1.2,0.7%,5.94,
195,Anthony Nunez,24,BAL,AL,15.1,.203,.242,.373,.615,.256,3.2,28.6,4.8,85.9,42.9,21.4,47.6,21.4,0.95,0.3,0.2%,-0.69,
196,Riley O'Brien,31,STL,NL,15.1,.200,.241,.218,.460,.289,0.0,29.3,1.7,84.6,39.5,21.1,60.5,15.8,1.64,0.8,0.6%,2.81,
197,PJ Poulin*,29,WSN,NL,15.1,.228,.333,.421,.754,.227,4.5,15.2,12.1,93.0,55.3,8.5,51.1,34.0,1.00,0.0,0.0%,-1.29,
198,Tyler Rogers,35,TOR,AL,15.1,.148,.207,.148,.355,.174,0.0,13.6,6.8,80.2,17.4,12.8,70.2,10.6,2.54,0.3,0.2%,5.39,
199,Noah Schultz*,22,CHW,AL,15.1,.151,.274,.264,.538,.206,1.6,28.6,14.3,87.1,34.3,30.6,33.3,27.8,0.52,0.0,0.0%,0.86,
200,Grant Taylor,24,CHW,AL,15.1,.242,.288,.339,.627,.385,0.0,34.8,6.1,89.6,47.4,28.2,38.5,28.2,0.63,0.6,0.3%,2.49,
201,Osvaldo Bido,30,2TM,2LG,15.1,.222,.354,.444,.798,.220,4.6,15.4,13.8,90.2,45.5,27.3,29.5,36.4,0.42,-0.1,-0.1%,-2.03,
201,Osvaldo Bido,30,ATL,NL,10.0,.206,.341,.382,.724,.222,2.4,14.6,12.2,90.7,50.0,25.0,32.1,35.7,0.47,-0.1,-0.1%,-1.07,
201,Osvaldo Bido,30,CHW,AL,5.1,.250,.375,.550,.925,.214,8.3,16.7,16.7,89.3,37.5,31.3,25.0,37.5,0.33,0.0,0.0%,-0.96,
202,Graham Ashcraft,28,CIN,NL,15.0,.216,.322,.333,.655,.306,0.0,25.4,13.6,90.1,45.2,22.2,58.3,19.4,1.40,0.7,0.6%,6.12,
203,Hoby Milner*,35,CHC,NL,15.0,.192,.276,.308,.584,.178,3.4,8.6,6.9,86.2,27.7,23.4,40.4,25.5,0.68,0.5,0.3%,5.03,
204,JoJo Romero*,29,STL,NL,15.0,.250,.333,.446,.780,.262,4.7,17.2,9.4,89.8,43.5,28.3,41.3,21.7,0.73,0.6,0.4%,3.37,
205,Jose A. Ferrer*,26,SEA,AL,14.2,.317,.369,.367,.736,.388,0.0,16.4,4.5,82.6,25.5,19.6,41.2,31.4,0.75,-0.6,-0.4%,0.49,
206,Merrill Kelly,37,ARI,NL,14.2,.350,.452,.683,1.135,.340,6.8,12.2,16.2,89.7,45.3,30.2,34.0,32.1,0.53,-0.7,-0.4%,-7.54,
207,Dylan Lee*,31,ATL,NL,14.2,.122,.154,.245,.399,.182,0.0,32.7,3.8,87.8,39.4,24.2,33.3,36.4,0.50,0.5,0.3%,5.82,
208,Juan Morillo,27,ARI,NL,14.2,.151,.211,.208,.418,.200,1.8,29.8,7.0,86.4,34.3,11.1,58.3,22.2,1.40,0.6,0.3%,5.08,
