mlbam_id,player,name_key,num_starts,ip,era,k9,bb9,h9,whip,k_pct,bb_pct,fip,siera_proxy,qs_rate,qs_prob
671212,Joe Boyle,joe boyle,3,15.7,5.17,9.19,3.45,6.32,1.09,0.25,0.0938,3.19,3.078,0.333,0.415
676571,PJ Poulin,pj poulin,4,4.3,2.08,6.23,0.0,8.31,0.92,0.1765,0.0,2.99,3.09,0.0,0.27
605400,Aaron Nola,aaron nola,6,31.3,6.03,10.05,3.73,10.34,1.56,0.2448,0.0909,3.67,3.127,0.333,0.38
592662,Robbie Ray,robbie ray,6,33.3,2.7,9.45,3.78,6.48,1.14,0.2536,0.1014,3.27,3.128,0.333,0.38
669387,Carmen Mlodzinski,carmen mlodzinski,5,22.3,5.24,10.07,3.63,11.28,1.66,0.2404,0.0865,3.77,3.14,0.0,0.225
656641,Jacob Latz,jacob latz,1,4.0,0.0,6.75,2.25,0.0,0.25,0.2308,0.0769,2.42,3.169,0.0,0.405
702273,Noah Schultz,noah schultz,3,15.3,3.52,10.57,5.28,4.7,1.11,0.2857,0.1429,3.26,3.202,0.333,0.415
554430,Zack Wheeler,zack wheeler,1,5.0,3.6,10.8,5.4,5.4,1.2,0.2857,0.1429,3.35,3.202,0.0,0.405
683004,Jack Leiter,jack leiter,6,31.3,5.17,9.48,3.45,9.77,1.47,0.2357,0.0857,3.62,3.209,0.167,0.28
808967,Yoshinobu Yamamoto,yoshinobu yamamoto,6,37.7,2.87,7.65,2.15,6.93,1.01,0.2119,0.0596,3.19,3.255,0.833,0.68
605488,Jeffrey Springs,jeffrey springs,7,38.7,3.96,8.15,2.79,6.98,1.09,0.2215,0.0759,3.3,3.316,0.429,0.435
656492,Foster Griffin,foster griffin,6,33.7,2.67,8.02,2.67,6.95,1.07,0.219,0.073,3.28,3.318,0.333,0.38
650633,Michael King,michael king,6,33.7,2.41,9.09,4.01,5.35,1.04,0.25,0.1103,3.26,3.32,0.5,0.48
605540,Brandon Woodruff,brandon woodruff,6,30.0,3.6,7.5,2.1,7.2,1.03,0.2066,0.0579,3.24,3.323,0.333,0.38
681347,Mike Burrows,mike burrows,6,31.7,6.25,9.38,3.41,11.65,1.67,0.223,0.0811,3.91,3.363,0.0,0.18
624133,Ranger Suarez,ranger suarez,6,35.0,3.09,7.46,2.31,6.17,0.94,0.2101,0.0652,3.18,3.363,0.5,0.48
691587,Eury Pérez,eury perez,6,31.3,4.6,9.48,4.02,8.62,1.4,0.2391,0.1014,3.65,3.377,0.333,0.38
693433,Bryan Woo,bryan woo,6,35.0,3.86,6.94,1.54,7.97,1.06,0.1901,0.0423,3.29,3.398,0.667,0.58
607536,Kyle Freeland,kyle freeland,5,20.7,3.48,7.4,2.18,7.84,1.11,0.2,0.0588,3.38,3.451,0.2,0.325
579328,Yusei Kikuchi,yusei kikuchi,7,31.0,5.81,9.58,4.06,10.16,1.58,0.2324,0.0986,3.86,3.452,0.143,0.235
608331,Max Fried,max fried,7,47.3,2.09,7.04,2.28,4.94,0.8,0.2056,0.0667,3.08,3.463,0.857,0.735
689441,Coleman Crow,coleman crow,1,5.3,3.38,6.75,1.69,6.75,0.94,0.1905,0.0476,3.21,3.464,0.0,0.405
663460,Kris Bubic,kris bubic,6,33.7,3.74,9.36,4.54,6.15,1.19,0.2482,0.1206,3.49,3.503,0.5,0.48
666142,Cole Ragans,cole ragans,6,27.0,5.0,11.0,6.0,7.33,1.48,0.2727,0.1488,3.78,3.515,0.5,0.48
693821,Bryce Elder,bryce elder,7,43.0,1.88,7.53,2.72,6.7,1.05,0.2069,0.0747,3.37,3.551,0.714,0.635
702056,Trey Yesavage,trey yesavage,1,5.3,0.0,5.06,0.0,6.75,0.75,0.15,0.0,3.02,3.555,0.0,0.405
663556,Shane McClanahan,shane mcclanahan,5,23.0,3.91,9.78,5.09,6.26,1.26,0.2551,0.1327,3.6,3.568,0.0,0.225
592791,Jameson Taillon,jameson taillon,6,34.7,4.41,8.05,3.38,7.01,1.15,0.2153,0.0903,3.52,3.626,0.5,0.48
607625,Seth Lugo,seth lugo,6,37.7,2.63,7.41,2.63,7.88,1.17,0.1975,0.0701,3.54,3.65,0.667,0.58
608379,Michael Wacha,michael wacha,6,37.3,3.13,7.96,3.38,6.75,1.12,0.2143,0.0909,3.5,3.652,0.667,0.58
571927,Steven Matz,steven matz,6,31.3,4.31,7.76,3.16,6.89,1.12,0.2093,0.0853,3.5,3.658,0.333,0.38
669432,Trevor Rogers,trevor rogers,6,30.3,4.75,8.01,2.97,10.09,1.45,0.2,0.0741,3.84,3.661,0.5,0.48
607200,Erick Fedde,erick fedde,4,21.7,3.74,7.06,2.49,6.65,1.02,0.1954,0.069,3.39,3.67,0.25,0.37
678906,Kai-Wei Teng,kaiwei teng,1,3.0,6.0,6.0,0.0,15.0,1.67,0.1429,0.0,4.0,3.681,0.0,0.405
621121,Lance McCullers Jr.,lance mccullers jr,6,31.3,6.32,9.48,4.88,7.76,1.4,0.2391,0.1232,3.81,3.698,0.333,0.38
571578,Patrick Corbin,patrick corbin,4,19.3,3.72,7.45,2.79,8.38,1.24,0.1951,0.0732,3.66,3.733,0.0,0.27
656849,David Peterson,david peterson,5,23.3,8.1,10.03,5.01,11.96,1.89,0.2281,0.114,4.34,3.751,0.0,0.225
657277,Logan Webb,logan webb,7,44.0,4.3,7.77,3.07,9.2,1.36,0.1979,0.0781,3.79,3.753,0.714,0.635
669923,George Kirby,george kirby,7,45.0,3.0,6.8,2.2,8.0,1.13,0.1828,0.0591,3.55,3.753,0.571,0.535
650644,Aaron Civale,aaron civale,6,30.7,3.23,7.04,2.35,9.39,1.3,0.1818,0.0606,3.74,3.79,0.0,0.18
676440,Tanner Bibee,tanner bibee,7,35.3,4.08,8.15,3.57,9.42,1.44,0.2038,0.0892,3.91,3.807,0.286,0.335
669358,Shane Baz,shane baz,6,34.0,4.5,7.68,2.91,10.59,1.5,0.1895,0.0719,3.96,3.811,0.0,0.18
702070,Noah Cameron,noah cameron,6,31.7,5.4,7.96,3.13,11.37,1.61,0.1918,0.0753,4.09,3.82,0.167,0.28
665795,Edward Cabrera,edward cabrera,6,35.3,3.06,7.39,3.06,7.64,1.19,0.1959,0.0811,3.65,3.829,0.5,0.48
669194,Ryne Nelson,ryne nelson,6,25.7,7.71,8.42,3.86,9.82,1.52,0.2069,0.0948,4.0,3.835,0.0,0.18
700241,Michael McGreevy,michael mcgreevy,6,33.3,2.97,5.67,1.35,6.75,0.9,0.1615,0.0385,3.33,3.845,0.5,0.48
669372,J.T. Ginn,jt ginn,4,18.0,2.5,7.5,3.5,6.0,1.06,0.2055,0.0959,3.54,3.874,0.0,0.27
622491,Luis Castillo,luis castillo,6,28.3,6.35,8.26,3.49,12.07,1.73,0.194,0.0821,4.24,3.876,0.167,0.28
813349,Connelly Early,connelly early,6,31.7,2.84,7.96,3.98,6.82,1.2,0.2105,0.1053,3.71,3.923,0.333,0.38
621111,Walker Buehler,walker buehler,6,25.0,5.4,8.64,4.32,9.72,1.56,0.2105,0.1053,4.09,3.923,0.167,0.28
673540,Kodai Senga,kodai senga,5,20.0,9.0,10.35,5.85,11.7,1.95,0.2323,0.1313,4.51,3.935,0.2,0.325
622663,Luis Severino,luis severino,7,38.3,4.46,9.39,5.4,7.51,1.43,0.2353,0.1353,3.97,3.945,0.286,0.335
687075,Brandon Sproat,brandon sproat,4,19.3,6.98,8.38,4.19,9.31,1.5,0.2069,0.1034,4.05,3.958,0.25,0.37
677958,Kumar Rocker,kumar rocker,5,26.7,3.38,7.42,3.38,8.44,1.31,0.1913,0.087,3.86,3.99,0.4,0.425
680694,Kyle Bradish,kyle bradish,6,30.0,4.2,9.3,5.1,10.5,1.73,0.2183,0.1197,4.32,4.001,0.167,0.28
664285,Framber Valdez,framber valdez,7,40.3,3.35,7.14,3.12,8.26,1.26,0.186,0.0814,3.82,4.003,0.714,0.635
695076,Rhett Lowder,rhett lowder,6,34.0,3.18,6.62,2.65,7.94,1.18,0.1761,0.0704,3.73,4.023,0.5,0.48
641927,Bailey Ober,bailey ober,7,38.0,3.55,6.87,3.08,7.11,1.13,0.1847,0.0828,3.7,4.045,0.429,0.435
669160,Dustin May,dustin may,6,30.7,5.28,6.46,2.05,11.74,1.53,0.1583,0.0504,4.12,4.058,0.5,0.48
663372,Ryan Feltner,ryan feltner,5,20.0,6.3,7.65,3.6,9.9,1.5,0.1889,0.0889,4.1,4.059,0.0,0.225
702275,JR Ritchie,jr ritchie,2,12.3,2.92,8.03,4.38,7.3,1.3,0.2075,0.1132,3.9,4.089,0.5,0.46
625643,Reynaldo López,reynaldo lopez,5,21.7,3.74,8.31,4.57,8.31,1.43,0.2083,0.1146,4.05,4.095,0.2,0.325
656605,Mitch Keller,mitch keller,6,34.0,3.18,6.62,2.91,7.41,1.15,0.1773,0.078,3.74,4.106,0.667,0.58
607259,Nick Martinez,nick martinez,6,37.0,1.7,5.84,2.19,6.81,1.0,0.1622,0.0608,3.59,4.131,0.667,0.58
605280,Clay Holmes,clay holmes,6,36.0,1.75,6.25,2.75,6.0,0.97,0.1748,0.0769,3.56,4.133,0.5,0.48
700712,Walbert Urena,walbert urena,2,9.7,5.59,10.24,6.52,9.31,1.76,0.2391,0.1522,4.41,4.137,0.5,0.46
691725,Andrew Painter,andrew painter,4,19.0,6.16,6.63,2.37,12.79,1.68,0.1573,0.0562,4.33,4.152,0.0,0.27
669467,Andre Pallante,andre pallante,6,31.3,3.73,7.47,4.02,7.76,1.31,0.1926,0.1037,3.97,4.206,0.167,0.28
676083,Janson Junk,janson junk,6,33.0,3.0,5.73,2.18,7.36,1.06,0.1567,0.0597,3.69,4.21,0.333,0.38
641816,Tyler Mahle,tyler mahle,6,30.7,5.87,8.51,4.99,9.68,1.63,0.2042,0.1197,4.34,4.24,0.167,0.28
608566,Germán Márquez,german marquez,5,24.7,4.38,6.2,2.55,9.49,1.34,0.1589,0.0654,4.01,4.249,0.0,0.225
677944,Slade Cecconi,slade cecconi,6,30.3,6.23,7.42,3.86,9.79,1.52,0.1825,0.0949,4.22,4.253,0.167,0.28
547179,Michael Lorenzen,michael lorenzen,7,33.0,6.27,6.55,2.45,13.91,1.82,0.1509,0.0566,4.54,4.267,0.143,0.235
808963,Roki Sasaki,roki sasaki,5,22.7,6.35,8.74,5.16,11.12,1.81,0.2018,0.1193,4.56,4.274,0.0,0.225
608372,Tomoyuki Sugano,tomoyuki sugano,6,31.7,2.84,5.97,2.56,7.96,1.17,0.1591,0.0682,3.85,4.283,0.333,0.38
656550,Grant Holmes,grant holmes,6,32.3,3.62,6.96,3.9,6.96,1.21,0.1838,0.1029,3.93,4.344,0.5,0.48
663903,Brady Singer,brady singer,6,29.0,4.97,5.9,2.17,12.41,1.62,0.1418,0.0522,4.38,4.367,0.333,0.38
645261,Sandy Alcantara,sandy alcantara,7,47.3,3.04,5.89,2.85,7.61,1.16,0.1574,0.0761,3.91,4.421,0.714,0.635
681517,Kyle Leahy,kyle leahy,6,29.3,5.52,6.75,3.38,11.66,1.67,0.1606,0.0803,4.48,4.423,0.0,0.18
