"entity_name","team_abbr","level","parent_org","total_vs_expected","net_for","net_against","n_challenges","n_overturns","n_confirms","rate_overturns","exp_chal","exp_chal_gained","exp_chal_lost","exp_rate_overturns","net_chal_gained","net_chal_lost","n_strikeouts_flip","n_walks_flip","exp_rate_challenges","exp_rate_challenges_diff","n_challenges_against","n_overturns_against","n_confirms_against","rate_overturns_against","exp_chal_against","exp_chal_gained_against","exp_chal_lost_against","exp_rate_overturns_against","net_chal_gained_against","net_chal_lost_against","n_strikeouts_flip_against","n_walks_flip_against","exp_rate_challenges_against","exp_rate_challenges_diff_against"
"Alek Thomas","AZ","MLB","AZ",4.239991463382228,1.7618569435671563,-2.4781345198150717,4,3,1,0.75,1.806551649453136,1.0223473529429896,0.7842042965101462,0.5659109460017188,1.9776526470570102,0.21579570348985377,0,0,0.043013134510788954,0.052224960727306285,3,0,3,,1.63646753984727,0.5573010298311711,1.079166510016099,0.3405512277274889,-0.5573010298311711,1.9208334899839008,0,0,0.020980353074965,0.017481185386573464
"Alec Burleson","STL","MLB","STL",0.14483152286397405,1.7494023824790643,1.6045708596150903,2,2,0,1,2.671037389423298,1.4608175034721174,1.2102198859511815,0.5469101665355278,0.5391824965278827,-1.2102198859511815,0,0,0.03561383185897731,-0.008947165192310641,2,2,0,1,3.1053483174387884,1.7503887289118492,1.3549595885269394,0.5636690477142754,0.24961127108815093,-1.3549595885269394,0,0,0.020034505273798634,-0.007131279467347022
"Trevor Story","BOS","MLB","BOS",1.6340790637603309,1.7302168329948289,0.09613776923449802,2,2,0,1,3.6962208019076033,1.983001984456388,1.7132188174512168,0.5364944603506829,0.01699801554361202,-1.7132188174512168,1,0,0.05133640002649449,-0.02355862224871671,0,0,0,,2.499210011185872,1.2015361209756872,1.2976738902101852,0.4807663684115765,-1.2015361209756872,-1.2976738902101852,0,0,0.019525078212389625,-0.019525078212389625
"Ian Happ","CHC","MLB","CHC",1.068047659764108,1.7258993697413072,0.6578517099771992,2,1,1,0.5,3.855180567071237,1.064640598664964,2.7905399684062715,0.2761584263415622,-0.06464059866496402,-1.7905399684062713,0,1,0.041012559224162096,-0.019735963479481245,4,3,1,0.75,5.4301970929473065,3.386172691485054,2.0440244014622526,0.6235819130548661,-0.3861726914850541,-1.0440244014622533,3,1,0.028579984699722664,-0.007527353120775297
"Andrew McCutchen","TEX","MLB","TEX",1.2751874388745268,1.709209752992776,0.43402231411824943,2,2,0,1,1.5533516376015357,0.92207094230438,0.6312806952971561,0.5936009078588996,1.07792905769562,-0.6312806952971561,1,1,0.06472298490006399,0.018610348433269346,2,1,1,0.5,2.0757412271356217,0.8208594565086862,1.2548817706269357,0.39545365567624974,0.17914054349131375,-0.2548817706269357,0,0,0.026957678274488594,-0.0009836523004626194
"Ceddanne Rafaela","BOS","MLB","BOS",0.0755778063497674,1.7082236955201173,1.63264588917035,3,2,1,0.6666666666666666,3.030431622499213,1.1611039634895475,1.8693276590096646,0.3831480489013571,0.8388960365104525,-0.8693276590096648,0,0,0.048102089246019254,-0.0004830416269716375,2,2,0,1,3.213310673076818,1.7903323919532337,1.4229782811235836,0.5571613124600087,0.2096676080467662,-1.4229782811235836,1,0,0.025706485384614546,-0.009706485384614546
"Austin Martin","MIN","MLB","MIN",3.7015489636814145,1.66339630648668,-2.038152657194735,5,3,2,0.6,3.4401031602171814,1.388353426865251,2.0517497333519312,0.4035790097578356,1.611646573134749,-0.05174973335193091,0,2,0.051344823286823604,0.023282042384818187,5,1,4,0.2,3.1259164743203773,1.0820345657575563,2.043881908562821,0.3461495451482936,-0.08203456575755635,1.9561180914371785,0,0,0.018606645680478436,0.011155259081426325
"Liam Hicks","MIA","MLB","MIA",1.31798772265362,1.633792335866298,0.31580461321267783,1,1,0,1,2.141957883950946,0.7540827740423238,1.3878751099086217,0.3520530350724643,0.24591722595767618,-1.3878751099086217,0,0,0.03454770780566042,-0.0184186755475959,2,1,1,0.5,2.3275043954572054,1.005849891122264,1.3216545043349421,0.4321581059462098,-0.005849891122264084,-0.3216545043349419,0,0,0.018183628089509418,-0.0025586280895094175
"Garrett Mitchell","MIL","MLB","MIL",0.14213198542839556,1.628431184110888,1.4862991986824925,2,1,1,0.5,3.217626290211005,0.7945975530500584,2.4230287371609465,0.24695147334774867,0.20540244694994161,-1.4230287371609465,0,0,0.053627104836850084,-0.02029377150351675,2,2,0,1,3.8846140875561246,2.1991574444368163,1.6854566431193088,0.5661199271972838,-0.19915744443681627,-1.6854566431193088,0,0,0.025224766802312497,-0.01223775381529951
"Brent Rooker","ATH","MLB","ATH",2.5319800654774722,1.5823214701362585,-0.9496585953412137,2,2,0,1,1.3057192858176176,0.8616989078406796,0.4440203779769381,0.6599419317767826,1.1383010921593204,-0.4440203779769381,0,1,0.04502480295922819,0.023940714282151117,0,0,0,,2.1695146908431235,1.5595866430921685,0.6099280477509549,0.7188642924036053,-1.5595866430921685,-0.6099280477509549,0,0,0.03013214848393227,-0.03013214848393227
"Ryan Jeffers","MIN","MLB","MIN",1.9535119717636165,1.5660398178643753,-0.3874721538992411,4,3,1,0.75,3.736977723156184,2.085468952645904,1.6515087705102793,0.5580629875643344,0.9145310473540958,-0.6515087705102793,2,0,0.047303515482989666,0.0033293959094153947,1,0,1,,2.112890370101032,0.7501812620001367,1.3627091081008955,0.35504978044093466,-0.7501812620001367,-0.36270910810089557,0,0,0.013544169039109181,-0.00713391262885277
"Mike Trout","LAA","MLB","LAA",0.41780084798911754,1.5374540132174093,1.1196531652282917,6,5,1,0.8333333333333334,7.691521862213525,5.077033924498059,2.6144879377154675,0.6600818427677134,-0.07703392449805924,-1.6144879377154686,2,2,0.0620284021146252,-0.013641305340431656,4,3,1,0.75,5.49911280498695,3.189729819879329,2.3093829851076215,0.5800444422574268,-0.18972981987932935,-1.309382985107621,1,0,0.023400480021221064,-0.006379203425476384
"Cedric Mullins","TB","MLB","TB",1.0652819718057076,1.523405034629485,0.45812306282377724,2,2,0,1,1.955489430528518,1.2160421979495166,0.7394472325790015,0.6218607878749066,0.7839578020504835,-0.7394472325790015,0,0,0.042510639794098214,0.0009676210754670005,0,0,0,,1.4867692245764974,0.5143230808763599,0.9724461437001372,0.3459333650270193,-0.5143230808763599,-0.9724461437001372,0,0,0.011990074391745946,-0.011990074391745946
"Sal Stewart","CIN","MLB","CIN",0.2899585405135514,1.5016571121956972,1.2116985716821458,6,4,2,0.6666666666666666,4.284803990116818,2.3915734389605614,1.893230551156258,0.5581523552715323,1.6084265610394393,0.10676944884374208,1,0,0.05951116652940025,0.023822166803933082,2,2,0,1,3.90516703141902,2.346734229868437,1.5584328015505826,0.6009305648101061,-0.34673422986843694,-1.5584328015505826,0,1,0.021456961711093517,-0.010467950722082528
"Jeremiah Jackson","BAL","MLB","BAL",2.4584192664332782,1.4561059441699578,-1.0023133222633205,1,1,0,1,1.2225974633579664,0.38324575959400425,0.8393517037639618,0.3134684727231379,0.6167542404059958,-0.8393517037639618,0,1,0.03595874892229313,-0.006546984216410776,1,0,1,,1.4748617086512745,0.7385875154572976,0.7362741931939771,0.5007842505672739,-0.7385875154572976,0.2637258068060229,0,0,0.01657147987248623,-0.005335524816306455
"Jorge Soler","LAA","MLB","LAA",2.729391313127665,1.4076475689237793,-1.3217437442038853,2,1,1,0.5,4.1968563417154865,1.3946043863958537,2.802251955319633,0.33229738471958326,-0.3946043863958537,-1.802251955319633,1,1,0.05828967141271509,-0.030511893634937313,2,0,2,,2.857611996133764,1.0896778701688246,1.7679341259649393,0.38132464156894486,-1.0896778701688246,0.23206587403506068,0,0,0.015446551330452777,-0.004635740519641967
"Tyler Heineman","TOR","MLB","TOR",0.4478965290021172,1.3937220973607025,0.9458255683585853,1,1,0,1,0.658456866370877,0.1323673845050872,0.5260894818657899,0.20102665985493884,0.8676326154949128,-0.5260894818657899,0,0,0.03135508887480366,0.016263958744243953,1,1,0,1,0.9222117140899401,0.4881930728656775,0.4340186412242628,0.5293720144809023,0.5118069271343225,-0.4340186412242628,0,0,0.01962152583170085,0.0016550699129799986
"Julio Rodriguez","SEA","MLB","SEA",1.9316155058920097,1.3876257784982635,-0.5439897273937462,1,1,0,1,3.03479212214758,1.3235831718246578,1.7112089503229213,0.43613635417243013,-0.3235831718246577,-1.7112089503229213,0,0,0.03793490152684475,-0.02543490152684475,1,1,0,1,4.52042705929981,3.0322083933467785,1.4882186659530323,0.6707791882425488,-2.0322083933467785,-1.4882186659530323,0,0,0.02456753836575984,-0.019132755757064187
"Rafael Marchan","PHI","MLB","PHI",-0.0008647580849694414,1.3838904858514145,1.384755243936384,1,1,0,1,1.0980989593962245,0.357104236772405,0.7409947226238195,0.32520223584289176,0.642895763227595,-0.7409947226238195,0,0,0.033275726042309835,-0.00297269573927953,2,2,0,1,1.2736373690296288,0.9444410625466224,0.32919630648300635,0.741530584381473,1.0555589374533776,-0.32919630648300635,1,0,0.024030893755276013,0.01370495530132776
