"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
592332,"Gausman, Kevin","R",530,141,"38.3",-1.9802194691518575,5.873358490566038,-0.1081417833720109,4.393103075034474
592662,"Ray, Robbie","L",578,137,"45.5",1.690017116188717,6.1803806228373706,0.11101474936624542,4.57241757797803
592773,"Stanek, Ryne","R",302,138,"46.8",-1.3208465125681292,6.369701986754967,0.3484036128720001,4.59118030214494
592791,"Taillon, Jameson","R",550,112,"45.7",-1.5498745568671406,6.068781818181818,0.06355121212121212,4.411676726948631
592836,"Walker, Taijuan","R",424,143,"43.6",-1.8952864674287655,6.547452830188679,-0.16173196238186527,4.898880968746847
593958,"Rodriguez, Eduardo","L",552,109,"43.0",1.8229194638968786,5.987626811594203,0.08188869836472137,4.363431294724741
593974,"Peralta, Wandy","L",221,135,"42.1",1.636028227914351,5.970226244343891,-0.1021282672344956,4.399875512780184
594580,"Moll, Sam","L",205,113,"13.3",2.323091900565378,4.832487804878049,0.14455273466371027,4.317441734272423
594798,"deGrom, Jacob","R",520,140,"33.3",-2.0855124506961027,5.656673076923077,-0.04718137597696421,4.317445874297271
595345,"Okert, Steven","L",208,117,"34.5",2.3809920118642114,5.868653846153846,0.4264395790484026,4.522984138471823
601713,"Pivetta, Nick","R",283,135,"57.7",-0.9417459663452036,6.613321554770318,0.311305929908102,4.634516467627848
605130,"Barlow, Scott","R",201,133,"24.9",-2.4470045762766506,5.209950248756219,-0.3119414021691897,4.215680958842153
605135,"Bassitt, Chris","R",439,110,"29.7",-2.3792075268819444,5.3593166287015945,-0.14375998826534134,4.086452364391604
605280,"Holmes, Clay","R",531,121,"40.8",-1.9280102304826372,6.4037664783427495,-0.0488001520690454,4.7824521783135445
605288,"Houser, Adrian","R",428,137,"38.6",-2.022182142911941,5.8363084112149535,-0.16133173134589435,4.350510791810352
605400,"Nola, Aaron","R",546,143,"19.4",-2.4244949134204314,4.97992673992674,-0.2607296437222908,4.219390992340992
605447,"Romano, Jordan","R",192,108,"54.2",-1.086227168851083,6.03125,0.25289934733363045,4.175478003379382
605488,"Springs, Jeffrey","L",545,133,"46.6",1.4540626866789628,6.111651376146789,-0.07008830774011021,4.49741574547417
605540,"Woodruff, Brandon","R",394,158,"43.1",-1.615915014862248,5.951065989847716,0.034677105784630416,4.4032839807450435
606996,"Hart, Kyle","L",240,135,"37.2",2.0198712486823527,5.58975,0.11160671754307784,4.142605753862151
607067,"Rea, Colin","R",446,112,"30.7",-2.0763860101442213,5.5102242152466365,-0.17718532089558203,4.38449468997546
607192,"Glasnow, Tyler","R",580,119,"56.9",-1.121837391104587,6.125965517241379,0.19024199459093982,4.105820200381093
607200,"Fedde, Erick","R",519,145,"35.1",-1.9098474335837234,5.890308285163776,0.008136687514382183,4.542730814262997
607259,"Martinez, Nick","R",517,139,"55.7",-1.0224082014465956,6.085493230174081,0.24314040829273506,4.225027109127456
607455,"Banda, Anthony","L",225,142,"32.9",2.076287714664784,5.432133333333334,0.06926909051297288,4.130151141612201
607536,"Freeland, Kyle","L",329,115,"32.1",2.0014443322340765,5.866474164133739,0.09220594547296676,4.6662931640741405
607625,"Lugo, Seth","R",554,118,"30.1",-2.2801945924809317,5.485595667870036,-0.21648611636646783,4.286733968158973
608331,"Fried, Max","L",655,147,"46.0",1.654258468066975,5.932748091603053,-0.04966387367160605,4.172384469526881
608372,"Sugano, Tomoyuki","R",504,115,"40.8",-1.9134303989618957,5.931904761904762,-0.20350079082137906,4.454186569653114
608379,"Wacha, Michael","R",561,118,"52.2",-1.2310059661014092,6.542370766488413,0.1740173766605978,4.7296602015753635
608566,"Márquez, Germán","R",331,135,"38.9",-1.918950328194842,6.074229607250755,-0.07444862513530542,4.586393284004071
608718,"Suter, Brent","L",323,108,"48.7",1.4261647864933777,6.0592569659442725,0.04498597594962557,4.488772143673118
621111,"Buehler, Walker","R",453,135,"45.7",-1.4934483286461921,5.568830022075055,-0.028283226696257463,4.068726542597774
621121,"McCullers Jr., Lance","R",416,117,"32.5",-2.1015796960647686,5.429759615384615,-0.21470089876422596,4.229241796071576
621237,"Alvarado, José","L",198,143,"56.3",1.0620657075337276,6.463737373737374,-0.33017458767712776,4.37605140261798
621381,"Strahm, Matt","L",205,118,"29.9",2.1739258448095944,5.237219512195122,0.05461336637537499,4.017353277683579
621383,"Banks, Tanner","L",212,143,"48.9",1.695204081685839,6.464292452830189,0.12800991028486866,4.6710394868496286
622491,"Castillo, Luis","R",550,136,"18.1",-2.4361854201838855,5.1671818181818185,-0.19243243477556313,4.434998736833577
622554,"Domínguez, Seranthony","R",251,145,"28.0",-2.1489294840207265,5.508685258964143,-0.11072961735943924,4.4275915585430115
622608,"Senzatela, Antonio","R",242,115,"40.3",-2.0879480565110904,5.918181818181818,-0.2975730053328619,4.396275347667241
622663,"Severino, Luis","R",666,133,"39.8",-1.5917920810160735,5.813288288288288,0.04155917133711251,4.452255029093265
623211,"Brazobán, Huascar","R",202,121,"38.5",-2.055579557018934,5.98460396039604,0.0034600015883941367,4.343148540001059
623437,"Topa, Justin","R",211,142,"11.6",-2.8122821562183375,4.972654028436019,-0.4901508938000017,4.4947679178177085
623454,"Anderson, Drew","R",268,116,"43.2",-1.8332544003915017,5.804589552238806,-0.015062413533934609,4.09475581151728
623474,"Herget, Jimmy","R",217,115,"5.0",-2.915713718598543,5.035161290322581,-0.6071868951099502,4.82619141674265
624133,"Suarez, Ranger","L",504,111,"41.5",1.7637467644549,5.9031150793650795,0.07223639529043942,4.406979251725943
625643,"López, Reynaldo","R",407,144,"41.6",-1.6586687322019487,5.743538083538083,-0.12677615831680003,4.381471078759849
640448,"Finnegan, Kyle","R",239,116,"52.0",-0.9788905286302667,5.700376569037657,0.37452955533677906,3.9668881286405777
640455,"Manaea, Sean","L",420,121,"16.5",3.2064211855708376,5.162571428571429,0.9533239321789322,4.493999248790425
641302,"Alexander, Tyler","L",229,140,"33.1",2.17897760943245,5.457554585152838,0.25349158551868545,4.201632913776865
641312,"Anderson, Shaun","R",277,108,"44.1",-1.6438140355105424,6.016714801444043,-0.14992262624117583,4.567271636196323
641329,"Baker, Bryan","R",201,139,"55.4",-1.1147913385113017,6.5796517412935325,0.3192413112689671,4.497992751483226
641401,"Brogdon, Connor","R",192,114,"33.3",-2.053464839436797,5.8410416666666665,-0.09259579434046344,4.555040477848336
641743,"Kay, Anthony","L",521,145,"36.7",1.866261072491125,5.7881190019193856,0.02959774326760891,4.416274800448883
641755,"Kinley, Tyler","R",213,144,"45.3",-1.4451336331655418,6.509718309859155,0.1629873289648766,4.885024857523034
641778,"Lauer, Eric","L",461,141,"37.0",1.6689803953827549,6.111409978308026,-0.2741842197656029,4.647931768301878
641793,"Littell, Zack","R",442,120,"38.6",-1.992033964449344,6.110950226244344,-0.2337420794315258,4.706668535299764
641816,"Mahle, Tyler","R",527,137,"41.8",-1.8678251397177326,5.483130929791272,-0.23000221209753524,4.016928318738225
641835,"Mayza, Tim","L",261,143,"41.9",1.9487586936424932,6.228850574712644,0.15563384521345983,4.616964502701116
641927,"Ober, Bailey","R",516,142,"27.1",-2.4920429665485027,5.893934108527132,-0.2885026974602385,4.762810010329008
641941,"Pagán, Emilio","R",201,113,"40.8",-1.5810136349748354,5.521194029850746,0.1694242823316572,4.008022705545357
642100,"Speier, Gabe","L",211,136,"30.2",1.9541182705164584,5.564170616113744,0.0628260025681966,4.463761778222707
642121,"Sulser, Cole","R",287,139,"41.8",-1.6760406270179422,5.69588850174216,-0.11805044252734354,4.303672191892278
642397,"Soto, Gregory","L",239,134,"35.0",2.2236150785032556,5.63928870292887,0.25950987738572034,4.263053868614772
642528,"Loáisiga, Jonathan","R",193,109,"42.4",-1.782564438492093,5.428445595854923,-0.08259871759349054,3.873953969595375
642547,"Peralta, Freddy","R",561,121,"32.7",-2.3991314917980238,5.19331550802139,-0.44989165721384977,3.9431269068476524
642701,"Santana, Dennis","R",240,134,"32.0",-2.438143971463201,5.6401666666666666,-0.356754894533571,4.338706955213904
