name,team,k_pct,bb_pct,woba,wrc_plus,iso
Leo Rivas,SEA,26.6,13.4,0.277,82,0.078
Jacob Young,WSN,17.5,6.2,0.281,78,0.084
Austin Hedges,CLE,24.4,8.5,0.269,71,0.084
TJ Friedl,CIN,18.7,9.8,0.298,85,0.119
Agustin Ramirez,MIA,20.6,7.7,0.309,96,0.166
Kerry Carpenter,DET,27.2,7.7,0.336,116,0.233
Ramon Urias,STL,21.4,8.1,0.299,92,0.15
CJ Kayfus,CLE,28.3,9.3,0.331,114,0.184
Freddy Fermin,SDP,20.5,7.9,0.274,77,0.101
Kyle Higashioka,TEX,26.5,7.3,0.289,85,0.15
Brandon Valenzuela,TOR,28.4,7.6,0.267,69,0.134
Masataka Yoshida,BOS,12.6,9.2,0.335,111,0.128
Lane Thomas,KCR,23.9,10.8,0.318,100,0.152
Dominic Smith,ATL,18.4,6.8,0.326,109,0.158
Ryan Kreidler,MIN,29.1,12.0,0.294,87,0.152
Trevor Story,BOS,28.8,5.3,0.287,78,0.147
Dominic Canzone,SEA,22.6,7.0,0.329,118,0.192
Blaze Alexander,BAL,30.0,8.0,0.286,83,0.111
Tyler O'Neill,BAL,26.6,10.5,0.328,112,0.181
Josh Bell,MIN,18.4,11.2,0.325,107,0.158
Kyle Manzardo,CLE,27.3,9.4,0.307,97,0.165
Marcelo Mayer,BOS,21.1,7.8,0.301,87,0.139
Zach McKinstry,DET,21.3,8.4,0.297,89,0.137
Miguel Amaya,CHC,21.4,8.4,0.313,102,0.143
Luke Raley,SEA,33.0,6.8,0.326,116,0.199
Nathan Church,STL,16.3,5.9,0.295,90,0.129
James Outman,MIN,34.7,10.0,0.302,92,0.181
Johnathan Rodriguez,BAL,27.9,9.2,0.322,108,0.169
Nolan Schanuel,LAA,14.5,10.0,0.316,101,0.125
Willi Castro,COL,25.7,8.1,0.319,91,0.142
Leo Jimenez,MIA,20.7,9.4,0.304,92,0.1
Tyler Black,MIL,24.0,11.0,0.319,105,0.138
Addison Barger,TOR,23.9,8.9,0.308,97,0.179
Jared Oliva,SFG,22.1,5.8,0.287,85,0.126
Rafael Devers,SFG,26.2,10.2,0.317,105,0.176
Will Benson,CIN,29.3,11.9,0.316,97,0.19
Josh Lowe,LAA,28.0,7.4,0.302,91,0.17
Victor Scott II,STL,23.0,7.7,0.263,68,0.083
Brett Baty,NYM,25.3,7.9,0.304,97,0.156
Bo Naylor,CLE,24.0,9.8,0.271,73,0.151
Dustin Harris,HOU,21.5,9.1,0.303,94,0.129
Jorge Mateo,ATL,29.4,6.0,0.282,78,0.141
Curtis Mead,WSN,19.2,7.5,0.315,101,0.158
Josh Smith,TEX,18.9,10.8,0.302,94,0.11
Tyler Tolbert,KCR,26.5,5.7,0.273,70,0.101
Ryan Bliss,SEA,27.6,8.0,0.273,79,0.116
Eli White,ATL,25.3,5.3,0.285,81,0.144
Victor Caratini,MIN,17.0,8.2,0.293,86,0.096
Jonny DeLuca,TBR,19.1,6.3,0.305,94,0.155
Gary Sanchez,MIL,25.7,12.5,0.341,120,0.236
Lourdes Gurriel Jr.,ARI,16.0,5.7,0.307,95,0.143
Yoan Moncada,LAA,30.6,11.9,0.311,98,0.166
Weston Wilson,BAL,28.6,10.3,0.309,99,0.162
Dylan Beavers,BAL,23.4,10.9,0.316,104,0.151
Everson Pereira,CHW,31.9,7.5,0.315,101,0.181
Jake Rogers,DET,29.6,7.3,0.257,61,0.133
Ezequiel Duran,TEX,22.7,6.5,0.31,100,0.139
Ryan Mountcastle,BAL,24.1,5.8,0.319,105,0.167
Drew Romo,CHW,24.0,6.1,0.286,81,0.141
Taylor Walls,TBR,25.3,10.7,0.269,69,0.092
Connor Wong,BOS,22.9,7.6,0.305,90,0.136
Sam Haggerty,TEX,24.1,8.3,0.291,87,0.102
TJ Rumfield,COL,17.8,8.5,0.325,95,0.145
Denzel Clarke,ATH,35.1,7.6,0.272,69,0.112
Owen Caissie,MIA,34.8,8.9,0.31,96,0.162
Carson Benge,NYM,21.9,8.9,0.295,91,0.136
Jorge Barrosa,ARI,25.0,7.6,0.28,76,0.129
Nick Yorke,PIT,21.7,7.4,0.29,83,0.102
Jake Fraley,TBR,21.3,9.8,0.315,101,0.147
Giancarlo Stanton,NYY,31.2,8.4,0.322,108,0.215
Andrew Vaughn,MIL,19.2,7.3,0.32,106,0.174
Brady House,WSN,28.8,5.5,0.293,86,0.143
Starling Marte,KCR,22.3,5.3,0.315,99,0.117
Nasim Nunez,WSN,22.5,11.3,0.265,67,0.043
Myles Straw,TOR,16.6,7.6,0.281,79,0.087
Jose Fermin,STL,12.7,10.4,0.308,99,0.119
Christian Koss,SFG,21.6,4.7,0.283,82,0.116
Joey Bart,PIT,30.5,8.7,0.29,83,0.118
Graham Pauley,MIA,22.0,7.8,0.283,78,0.145
Michael Massey,KCR,20.0,5.0,0.29,81,0.143
Luis Rengifo,MIL,17.0,6.7,0.277,76,0.115
Richie Palacios,TBR,19.5,11.3,0.294,86,0.098
Travis d'Arnaud,LAA,26.7,6.9,0.278,75,0.141
Jose Trevino,CIN,15.6,5.6,0.262,60,0.099
Rece Hinds,CIN,36.1,5.6,0.304,89,0.201
Victor Robles,SEA,22.3,5.8,0.3,97,0.118
Rhys Hoskins,CLE,27.6,13.7,0.322,107,0.169
Jake Bauers,MIL,25.8,10.6,0.333,114,0.214
Austin Hays,CHW,26.3,6.1,0.311,98,0.171
Edouard Julien,COL,27.4,13.1,0.341,106,0.14
Elias Diaz,KCR,22.1,6.7,0.299,87,0.146
Max Schuemann,NYY,22.1,11.5,0.298,91,0.105
Mark Vientos,NYM,25.6,7.3,0.315,105,0.176
Bryce Teodosio,LAA,34.3,5.3,0.262,64,0.089
Dylan Carlson,CHC,23.6,10.9,0.301,94,0.129
Tanner Murray,CHW,22.9,5.1,0.277,75,0.119
Harrison Bader,SFG,25.5,5.8,0.274,75,0.131
Hunter Feduccia,TBR,28.2,12.0,0.295,87,0.113
Eric Haase,SFG,31.4,6.2,0.283,82,0.135
Henry Davis,PIT,23.5,8.0,0.275,72,0.121
Matt Vierling,DET,20.8,8.1,0.304,94,0.148
