"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Banks, Tanner",621383,"PHI","SL","Slider",0.3,0,"91",32.7,"20","0.353","0.412","0.393",23.9,25,26.3,"0.275","0.332","0.329",25
"Hall, DL",669084,"MIL","SI","Sinker",1.7,2,"110",37.4,"20","0.214","0.214","0.345",11.1,5,5,"0.333","0.482","0.456",30.8
"Doval, Camilo",666808,"NYY","FC","Cutter",1,1,"89",43.4,"20","0.188","0.25","0.303",25.6,15,18.8,"0.174","0.21","0.239",42.9
"Lugo, Seth",607625,"KC","FF","4-Seam Fastball",-1.1,-1,"110",16.7,"20","0.389","0.5","0.42",16.7,20,13.8,"0.302","0.517","0.384",35.7
"Weathers, Ryan",677960,"NYY","ST","Sweeper",2.4,3,"125",19.8,"20","0.1","0.25","0.145",48.7,55,40.7,"0.151","0.261","0.177",11.1
"Whitlock, Garrett",676477,"BOS","SI","Sinker",-0.8,-1,"118",46.5,"20","0.294","0.471","0.385",12.9,5,3.4,"0.367","0.579","0.452",37.5
"Rodriguez, Eduardo",593958,"AZ","FC","Cutter",-4.3,-4,"83",15,"20","0.333","0.778","0.485",12.5,15,23.1,"0.313","0.78","0.482",53.3
"Pérez, Eury",691587,"MIA","ST","Sweeper",1.3,1,"93",15,"20","0.2","0.3","0.215",31.3,40,25,"0.179","0.318","0.212",25
"Baker, Bryan",641329,"TB","FF","4-Seam Fastball",2.2,2,"106",46.7,"20","0.118","0.118","0.195",32,25,13.2,"0.137","0.169","0.218",41.7
"Moll, Sam",594580,"CIN","ST","Sweeper",2.3,2,"100",39.2,"20","0.111","0.111","0.16",33.3,30,33.3,"0.169","0.193","0.213",16.7
"Kelly, Zack",677161,"BOS","FC","Cutter",0.8,1,"88",44.7,"20","0.278","0.5","0.368",22.9,10,33.3,"0.396","0.695","0.488",43.8
"Burke, Sean",680732,"CWS","SL","Slider",3.4,3,"91",14.6,"19","0.167","0.222","0.197",31.8,21.1,16,"0.217","0.258","0.233",21.4
"Bednar, David",670280,"NYY","FF","4-Seam Fastball",-2.1,-2,"102",37.4,"19","0.467","0.733","0.553",19.6,21.1,11.1,"0.234","0.322","0.338",45.5
"Painter, Andrew",691725,"PHI","SL","Slider",-0.4,0,"94",17.6,"19","0.294","0.353","0.269",41,42.1,26.7,"0.27","0.356","0.269",36.4
"Burrows, Mike",681347,"HOU","CU","Curveball",1.3,1,"96",15.1,"19","0.158","0.368","0.218",42.5,52.6,30.3,"0.188","0.377","0.237",44.4
"Alcantara, Sandy",645261,"MIA","SL","Slider",1.8,2,"103",15.4,"19","0.111","0.278","0.189",34,31.6,24,"0.16","0.323","0.23",25
"Holmes, Clay",605280,"NYM","ST","Sweeper",1.1,1,"107",17,"19","0.235","0.235","0.263",36.7,42.1,25.8,"0.159","0.179","0.205",22.2
"Keller, Brad",641745,"PHI","FF","4-Seam Fastball",-3.4,-3,"96",39.8,"19","0.467","0.667","0.537",26.2,26.3,15.2,"0.321","0.452","0.409",70
"Arrighetti, Spencer",681293,"HOU","FF","4-Seam Fastball",0.6,1,"91",24,"18","0.308","0.385","0.414",14.6,5.6,7.1,"0.451","0.796","0.578",66.7
"Griffin, Foster",656492,"WSH","ST","Sweeper",0.8,1,"88",13.8,"18","0.278","0.333","0.269",35.5,22.2,16,"0.299","0.405","0.302",28.6
"Pérez, Eury",691587,"MIA","SL","Slider",-1.2,-1,"99",15.9,"18","0.2","0.667","0.408",37.5,16.7,9.4,"0.348","0.805","0.522",58.3
"Woodruff, Brandon",605540,"MIL","CH","Changeup",1,1,"87",21,"18","0.222","0.278","0.219",39.5,27.8,23.8,"0.274","0.382","0.283",23.1
"Headrick, Brent",687396,"NYY","SL","Slider",0.6,1,"91",34.1,"18","0.188","0.313","0.213",53.5,33.3,26.1,"0.224","0.404","0.265",41.7
"Kay, Anthony",641743,"CWS","CH","Changeup",0.6,1,"88",14.5,"18","0.111","0.278","0.161",26.3,16.7,10,"0.278","0.445","0.309",46.7
"Pallante, Andre",669467,"STL","CU","Curveball",0,0,"99",18.4,"18","0.176","0.294","0.228",31.3,22.2,12.1,"0.228","0.394","0.289",46.2
"Vásquez, Randy",681190,"SD","CU","Curveball",-0.7,-1,"86",13.7,"18","0.294","0.529","0.369",25.5,22.2,11.8,"0.288","0.47","0.345",46.2
"deGrom, Jacob",594798,"TEX","CH","Changeup",3.2,3,"85",16.3,"18","0.111","0.111","0.1",39.5,38.9,31.8,"0.151","0.225","0.162",18.2
"Glasnow, Tyler",607192,"LAD","SL","Slider",2.9,3,"90",15.5,"17","0.118","0.176","0.126",41.3,35.3,25,"0.155","0.263","0.175",27.3
"Blubaugh, AJ",805123,"HOU","ST","Sweeper",0.7,1,"90",22.9,"17","0.286","0.357","0.315",41.9,23.5,13.8,"0.162","0.283","0.312",45.5
"Boyle, Joe",671212,"TB","SL","Slider",1.8,2,"90",34.2,"17","0.143","0.214","0.221",27,17.6,16.7,"0.221","0.315","0.271",30.8
"Kay, Anthony",641743,"CWS","ST","Sweeper",0.1,0,"121",19.9,"17","0.267","0.333","0.315",25.7,23.5,8.9,"0.234","0.401","0.32",54.5
"Nardi, Andrew",677053,"MIA","ST","Sweeper",-3.5,-3,"94",42.5,"17","0.333","0.933","0.538",41.2,35.3,19.4,"0.305","0.85","0.506",55.6
"Lauer, Eric",641778,"TOR","FC","Cutter",-0.9,-1,"89",17,"16","0.308","0.538","0.425",36.6,6.3,5.3,"0.3","0.571","0.433",16.7
"Erceg, Lucas",668674,"KC","FF","4-Seam Fastball",0.8,1,"92",35.7,"15","0.214","0.286","0.25",15,20,10.7,"0.386","0.585","0.439",54.5
"Bednar, David",670280,"NYY","CU","Curveball",0.1,0,"88",32.2,"15","0.357","0.357","0.3",32.4,13.3,10,"0.294","0.336","0.288",15.4
"Suarez, Ranger",624133,"BOS","FF","4-Seam Fastball",2.7,3,"103",17.9,"14","0.083","0.083","0.164",15,28.6,15.4,"0.19","0.38","0.306",37.5
"Imai, Tatsuya",837227,"HOU","FF","4-Seam Fastball",-0.9,-1,"98",47.8,"14","0.3","0.3","0.393",25,28.6,14.8,"0.242","0.315","0.373",50
"Lorenzen, Michael",547179,"COL","CU","Curveball",0.1,0,"91",14.8,"14","0.286","0.357","0.282",26.7,7.1,6.7,"0.285","0.33","0.267",53.8
"Scholtens, Jesse",669947,"TB","FF","4-Seam Fastball",0,0,"86",24.4,"14","0.3","0.4","0.418",19.4,28.6,12.1,"0.249","0.448","0.412",33.3
"Stanek, Ryne",592773,"STL","SL","Slider",-1,-1,"92",26.6,"11","0.364","0.455","0.359",51.3,18.2,5.7,"0.297","0.397","0.296",33.3
