"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Yamamoto, Yoshinobu",808967,"LAD","FF","4-Seam Fastball",-0.3,0,"143",25,"36","0.258","0.548","0.388",19.7,13.9,12.8,"0.334","0.667","0.462",53.8
"Warren, Will",701542,"NYY","SI","Sinker",2.2,3,"134",25.7,"36","0.235","0.235","0.239",19,25,28.1,"0.233","0.273","0.248",48
"Leiter, Jack",683004,"TEX","CH","Changeup",-1.1,-1,"116",21,"36","0.281","0.375","0.333",35.6,22.2,17.8,"0.257","0.481","0.357",45.8
"Leahy, Kyle",681517,"STL","FF","4-Seam Fastball",-2.5,-4,"152",30.3,"36","0.412","0.735","0.5",9.8,8.3,11.1,"0.357","0.582","0.419",67.7
"Martin, Davis",663436,"CWS","FF","4-Seam Fastball",-1,-1,"139",25.6,"36","0.344","0.375","0.363",25,25,19.6,"0.292","0.378","0.334",26.1
"Fedde, Erick",607200,"CWS","FC","Cutter",-0.3,0,"130",25,"36","0.303","0.606","0.41",13.3,5.6,10.5,"0.277","0.482","0.354",45.2
"Bazardo, Eduard",660825,"SEA","SI","Sinker",3,4,"137",62,"36","0.161","0.194","0.213",8.9,22.2,17.4,"0.225","0.357","0.295",50
"Weiss, Ryan",680802,"HOU","ST","Sweeper",-1,-2,"147",33.8,"36","0.207","0.414","0.347",34.8,33.3,22.2,"0.161","0.327","0.302",47.1
"Montero, Keider",672456,"DET","FF","4-Seam Fastball",0.8,1,"137",34.3,"36","0.242","0.455","0.328",14.9,11.1,10.3,"0.211","0.354","0.28",48.3
"Hurter, Brant",676428,"DET","SI","Sinker",2.7,3,"119",63.6,"36","0.094","0.188","0.194",9.6,5.6,8.3,"0.257","0.402","0.33",35.5
"Bibee, Tanner",676440,"CLE","FF","4-Seam Fastball",-1.3,-2,"159",25.8,"36","0.394","0.515","0.424",9.4,5.6,5.4,"0.331","0.5","0.386",61.3
"Littell, Zack",641793,"WSH","FS","Split-Finger",-0.3,0,"100",21.1,"36","0.171","0.343","0.281",19.1,22.2,20.5,"0.21","0.388","0.266",25.9
"Ashcraft, Braxton",677952,"PIT","CU","Curveball",1.8,2,"136",26.1,"36","0.111","0.306","0.196",48.4,58.3,38.9,"0.133","0.288","0.177",40
"Pérez, Martín",527048,"ATL","CH","Changeup",1.6,2,"136",30.6,"36","0.065","0.161","0.158",30.3,22.2,13.3,"0.2","0.279","0.269",20.8
"Fried, Max",608331,"NYY","FC","Cutter",3.5,5,"136",20.8,"36","0.161","0.161","0.222",21.7,16.7,27.3,"0.174","0.215","0.242",36
"Hoffmann, Andrew",694851,"AZ","FF","4-Seam Fastball",-1.2,-1,"118",51.5,"35","0.31","0.552","0.456",12.5,20,21.2,"0.243","0.44","0.341",56.5
"McClanahan, Shane",663556,"TB","SL","Slider",2.5,3,"111",27.3,"35","0.161","0.258","0.24",26.7,25.7,27.3,"0.22","0.422","0.322",45.5
"Crochet, Garrett",676979,"BOS","SI","Sinker",-1.7,-2,"116",22.4,"35","0.296","0.444","0.399",20.8,20,33.3,"0.262","0.462","0.388",38.1
"Mikolas, Miles",571945,"WSH","SI","Sinker",0.3,0,"105",21.9,"35","0.286","0.486","0.33",11.8,17.1,20.7,"0.229","0.382","0.262",37.9
"Sproat, Brandon",687075,"MIL","SI","Sinker",-2.2,-3,"120",26.4,"35","0.296","0.519","0.429",10.2,8.6,11.5,"0.288","0.502","0.421",41.7
"Lowder, Rhett",695076,"CIN","SL","Slider",-0.6,-1,"134",24.8,"35","0.294","0.412","0.328",36.5,28.6,23.3,"0.213","0.28","0.227",29.2
"Mejia, Juan",675848,"COL","FF","4-Seam Fastball",-1.2,-2,"137",47.7,"35","0.375","0.469","0.4",21.9,22.9,14.3,"0.336","0.53","0.397",54.2
"Cameron, Noah",702070,"KC","CH","Changeup",-0.7,-1,"101",20,"35","0.233","0.367","0.321",28.8,22.9,24.2,"0.243","0.343","0.316",40.9
"Schlittler, Cam",693645,"NYY","FC","Cutter",3.4,5,"149",25,"35","0.094","0.094","0.147",28.7,25.7,20.5,"0.167","0.204","0.194",25
"Lopez, Jacob",682052,"ATH","SL","Slider",0.3,0,"128",26.9,"35","0.167","0.267","0.26",26,25.7,21.4,"0.133","0.226","0.23",19
"Teng, Kai-Wei",678906,"HOU","ST","Sweeper",3.7,4,"112",37.5,"35","0.129","0.129","0.183",27.8,28.6,23.8,"0.234","0.327","0.294",28.6
"Taylor, Grant",691799,"CWS","FF","4-Seam Fastball",1,1,"153",55.2,"35","0.182","0.303","0.26",27.3,37.1,22.8,"0.23","0.313","0.261",60
"Weathers, Ryan",677960,"NYY","CH","Changeup",-0.9,-1,"123",22.8,"35","0.265","0.353","0.271",28.6,20,12.7,"0.263","0.35","0.266",39.3
"Sasaki, Roki",808963,"LAD","FS","Split-Finger",-0.8,-1,"154",35.1,"35","0.206","0.353","0.251",39.4,34.3,19,"0.199","0.317","0.235",22.7
"Headrick, Brent",687396,"NYY","FF","4-Seam Fastball",3.3,4,"118",47,"35","0.167","0.167","0.235",16.7,20,20,"0.197","0.283","0.278",30.4
"Bradley, Taj",671737,"MIN","FC","Cutter",1.5,2,"147",20.8,"34","0.161","0.161","0.194",32.4,26.5,23.1,"0.206","0.261","0.247",45.5
"Cecconi, Slade",677944,"CLE","FC","Cutter",0.2,0,"133",24.9,"34","0.241","0.31","0.309",16.1,11.8,13.3,"0.234","0.3","0.301",20
"Liberatore, Matthew",669461,"STL","SL","Slider",-4.2,-5,"127",25.6,"34","0.29","0.677","0.435",37.5,35.3,22.6,"0.258","0.6","0.369",45
"Castillo, Luis",622491,"SEA","SL","Slider",-1.7,-3,"164",29.3,"34","0.31","0.517","0.404",32.4,26.5,15.5,"0.243","0.343","0.318",40
"Walker, Ryan",676254,"SF","SI","Sinker",-0.3,0,"160",70.8,"34","0.323","0.419","0.357",17.2,26.5,18.8,"0.232","0.321","0.278",36.4
"Johnson, Pierce",572955,"CIN","CU","Curveball",0,0,"133",72.7,"34","0.29","0.548","0.353",23.8,20.6,18.4,"0.349","0.687","0.438",42.3
"Orze, Eric",679358,"MIN","FS","Split-Finger",-0.3,0,"130",61.6,"34","0.267","0.333","0.294",25.8,23.5,19,"0.239","0.305","0.27",34.8
"Abbott, Andrew",671096,"CIN","CH","Changeup",-1.4,-2,"124",20.5,"34","0.323","0.452","0.369",46.7,17.6,18.2,"0.23","0.31","0.274",12
"Skubal, Tarik",669373,"DET","SI","Sinker",-0.3,0,"116",18.5,"34","0.3","0.367","0.368",14.5,14.7,18.5,"0.357","0.419","0.382",56
"May, Dustin",669160,"STL","FF","4-Seam Fastball",-0.5,-1,"136",27.3,"34","0.323","0.516","0.39",13.2,14.7,11.1,"0.256","0.441","0.332",57.7
"Peterson, David",656849,"NYM","SL","Slider",5.1,5,"91",18.6,"34","0.125","0.125","0.106",40,38.2,29.5,"0.156","0.182","0.179",38.1
"Glasnow, Tyler",607192,"LAD","SI","Sinker",3.8,6,"146",25.2,"34","0.071","0.071","0.203",24.1,17.6,25,"0.182","0.308","0.295",27.3
"Gore, MacKenzie",669022,"TEX","CU","Curveball",-0.3,0,"125",22.7,"34","0.194","0.387","0.273",33.3,41.2,23,"0.241","0.452","0.318",55.6
"Scherzer, Max",453286,"TOR","FF","4-Seam Fastball",0.2,0,"162",47.2,"34","0.3","0.533","0.396",12.6,11.8,10.3,"0.315","0.562","0.411",50
"Finnegan, Kyle",640448,"DET","FF","4-Seam Fastball",1.7,2,"146",57,"34","0.185","0.296","0.307",17.2,20.6,19.4,"0.158","0.224","0.276",25
"Wacha, Michael",608379,"KC","CH","Changeup",0.9,1,"137",24.4,"34","0.161","0.258","0.253",32.8,20.6,14,"0.198","0.27","0.246",25
"Muñoz, Andrés",662253,"SEA","SL","Slider",1.7,2,"128",56.9,"34","0.152","0.303","0.226",50.7,47.1,32,"0.21","0.418","0.297",47.1
"Springs, Jeffrey",605488,"ATH","CH","Changeup",0.4,1,"117",19.1,"34","0.219","0.281","0.274",46.8,32.4,25,"0.166","0.204","0.192",14.3
"Ober, Bailey",641927,"MIN","SL","Slider",3.8,4,"97",16,"34","0.235","0.265","0.222",13.7,14.7,20,"0.217","0.29","0.22",34.5
"Eovaldi, Nathan",543135,"TEX","FC","Cutter",-1.8,-3,"144",22.9,"34","0.207","0.517","0.412",35.1,17.6,13.6,"0.256","0.544","0.391",43.5
"Sabrowski, Erik",681870,"CLE","FF","4-Seam Fastball",1.6,3,"161",67.9,"34","0.148","0.296","0.272",32,38.2,26.5,"0.165","0.366","0.318",46.7
"Nola, Aaron",605400,"PHI","FF","4-Seam Fastball",-4.5,-7,"156",28.6,"34","0.4","0.867","0.549",22.6,29.4,28.6,"0.31","0.647","0.439",65
"Myers, Tobias",668964,"NYM","FF","4-Seam Fastball",1.9,2,"119",45.4,"34","0.219","0.406","0.291",13.6,20.6,20.6,"0.298","0.459","0.347",52
"Woods Richardson, Simeon",680573,"MIN","SL","Slider",-3.1,-4,"128",25.4,"34","0.31","0.483","0.421",18.8,11.8,13.3,"0.317","0.413","0.374",44
"McClanahan, Shane",663556,"TB","FF","4-Seam Fastball",0.3,0,"149",36.6,"33","0.269","0.385","0.371",17.4,15.2,15.2,"0.327","0.647","0.473",52.4
"McGreevy, Michael",700241,"STL","CH","Changeup",1.8,2,"111",21.1,"33","0.129","0.226","0.185",27.1,18.2,20.7,"0.257","0.462","0.33",28
"Junk, Janson",676083,"MIA","SL","Slider",2.5,3,"119",24.3,"33","0.194","0.29","0.267",18.2,15.2,12.8,"0.264","0.41","0.316",46.2
"Taillon, Jameson",592791,"CHC","ST","Sweeper",2,2,"86",15.6,"33","0.152","0.273","0.18",32.1,39.4,36.1,"0.132","0.207","0.146",25
"Manaea, Sean",640455,"NYM","ST","Sweeper",0,0,"147",35,"33","0.241","0.379","0.286",27.8,27.3,16.4,"0.224","0.387","0.28",22.7
"Anderson, Drew",623454,"DET","FF","4-Seam Fastball",1.1,1,"118",39.5,"33","0.2","0.36","0.339",24.2,21.2,18.4,"0.267","0.458","0.393",47.4
"Banda, Anthony",607455,"MIN","SL","Slider",-0.5,-1,"108",45.2,"33","0.226","0.355","0.276",40.8,39.4,27.7,"0.169","0.231","0.205",44.4
"Sulser, Cole",642121,"TB","FF","4-Seam Fastball",-0.5,-1,"123",42.1,"33","0.3","0.5","0.374",14.8,15.2,17.9,"0.31","0.624","0.423",52
"McCullers Jr., Lance",621121,"HOU","FC","Cutter",-0.7,-1,"147",27.5,"33","0.286","0.536","0.4",20.3,15.2,18.5,"0.272","0.466","0.372",60.9
"Rasmussen, Drew",656876,"TB","FF","4-Seam Fastball",-1.9,-3,"137",27.9,"33","0.387","0.71","0.48",21.9,27.3,20.5,"0.312","0.516","0.374",45.5
"Morán, Jovani",663558,"BOS","FF","4-Seam Fastball",2.9,3,"110",39.6,"33","0.111","0.259","0.239",20.8,15.2,26.3,"0.142","0.255","0.247",26.1
"Quintana, Jose",500779,"COL","FF","4-Seam Fastball",1,1,"100",30.5,"33","0.16","0.4","0.303",22,15.2,17.9,"0.225","0.402","0.33",36.4
"Ginkel, Kevin",656464,"AZ","SL","Slider",2.8,3,"116",52.5,"33","0.129","0.161","0.162",44.8,33.3,26.8,"0.156","0.223","0.196",30
"Senzatela, Antonio",622608,"COL","FF","4-Seam Fastball",2.1,2,"96",37.2,"33","0.207","0.241","0.259",33.3,36.4,25.5,"0.227","0.3","0.285",41.2
"Senga, Kodai",673540,"NYM","FF","4-Seam Fastball",-1.6,-2,"138",37.6,"32","0.308","0.577","0.436",21.7,34.4,33.3,"0.241","0.435","0.363",33.3
"Kochanowicz, Jack",686799,"LAA","FF","4-Seam Fastball",1.2,1,"113",20.5,"32","0.214","0.286","0.278",18,21.9,18.4,"0.27","0.373","0.329",38.1
"King, Bryan",687911,"HOU","FF","4-Seam Fastball",1.9,2,"118",57.3,"32","0.179","0.286","0.24",17.2,31.3,23.3,"0.14","0.161","0.204",22.2
"McCullers Jr., Lance",621121,"HOU","SI","Sinker",0.9,1,"140",26.2,"32","0.222","0.407","0.334",15.1,15.6,26.3,"0.223","0.308","0.303",50
"Fisher, Braydon",680755,"TOR","SL","Slider",2,2,"123",48.6,"32","0.233","0.267","0.252",29.7,12.5,12.9,"0.263","0.327","0.284",34.6
"Cabrera, Edward",665795,"CHC","SI","Sinker",0.9,1,"112",20.4,"32","0.286","0.464","0.335",3.6,3.1,6.3,"0.289","0.482","0.343",34.5
"Sheehan, Emmet",686218,"LAD","FF","4-Seam Fastball",-3.1,-5,"175",40.1,"32","0.407","0.889","0.566",26.7,15.6,16.1,"0.351","0.718","0.487",50
"Pallette, Peyton",688883,"CLE","FF","4-Seam Fastball",0,0,"136",55.7,"32","0.269","0.423","0.373",33.3,25,27.6,"0.279","0.462","0.388",50
"Castillo, Luis",622491,"SEA","SI","Sinker",-0.8,-1,"110",19.6,"32","0.387","0.419","0.398",9.8,6.3,10.5,"0.395","0.531","0.411",48.3
"Petersen, Michael",656848,"MIA","FF","4-Seam Fastball",2.4,3,"107",54.9,"32","0.179","0.286","0.263",26.3,25,24.2,"0.235","0.562","0.38",50
"Meyer, Max",676974,"MIA","SL","Slider",1.2,2,"139",27.4,"32","0.115","0.269","0.269",46.6,40.6,27.7,"0.182","0.348","0.316",38.5
"Holmes, Clay",605280,"NYM","CH","Changeup",1.6,1,"91",17.1,"32","0.219","0.25","0.208",32.1,25,15.4,"0.261","0.319","0.253",62.5
"Irvin, Jake",663623,"WSH","SI","Sinker",-0.5,-1,"118",22.7,"32","0.296","0.519","0.409",11.4,9.4,15,"0.322","0.531","0.405",52
"Alvarado, José",621237,"PHI","SI","Sinker",0.5,1,"141",65,"32","0.385","0.423","0.428",26.1,12.5,15.4,"0.279","0.353","0.345",26.1
"Chandler, Bubba",696149,"PIT","CH","Changeup",0.3,0,"95",18.7,"32","0.226","0.355","0.264",32.6,28.1,26.5,"0.246","0.391","0.286",27.3
